,pattern,sup
0,['exciting'],0.004241585984324573
1,['fun'],0.015767634854771784
2,"['fun', 'get']",1.7921858138251773e-05
3,"['fun', 'building']",2.5602654483216818e-05
4,"['fun', 'available']",1.536159268993009e-05
5,"['fun', 'new']",2.432252175905598e-05
6,"['fun', 'mario']",1.7921858138251773e-05
7,['brick'],0.004518211157215307
8,['treat'],0.0035961272475795295
9,['trick'],0.0033195020746887966
10,['get'],0.0934071000461042
11,"['get', 'get']",8.960929069125887e-05
12,"['get', 'building']",1.7921858138251773e-05
13,"['get', 'fans']",1.536159268993009e-05
14,"['get', 'lego']",1.7921858138251773e-05
15,"['get', 'info']",1.536159268993009e-05
16,"['get', 'like']",1.7921858138251773e-05
17,"['get', 'available']",7.80880961738113e-05
18,"['get', 'right']",2.3042389034895136e-05
19,"['get', 'uk']",2.432252175905598e-05
20,"['get', 'uk', 'ie']",7.910416119529551e-07
21,"['get', 'happy']",3.712384900066439e-05
22,"['get', 'best']",3.072318537986018e-05
23,"['get', 'best', 'placed']",6.780356673882473e-07
24,"['get', 'time']",3.840398172482523e-05
25,"['get', 'new']",5.504570713891616e-05
26,"['get', 'know']",4.096424717314691e-05
27,"['get', 'set']",2.8162919931538503e-05
28,"['get', 'quickly']",3.968411444898607e-05
29,"['get', 'quickly', 'possible']",7.910416119529551e-07
30,"['get', 'stock']",6.400663620804206e-05
31,"['get', 'stock', 'store']",6.780356673882473e-07
32,"['get', 'make']",1.9201990862412615e-05
33,"['get', 'possible']",6.144637075972036e-05
34,"['get', 'possible', 'tracking']",7.910416119529551e-07
35,"['get', 'us']",0.00013057353786440578
36,"['get', 'us', 'happy']",1.073556473364725e-06
37,"['get', 'us', 'know']",1.073556473364725e-06
38,"['get', 'us', 'us']",9.040475565176631e-07
39,"['get', 'us', 'look']",1.130059445647079e-06
40,"['get', 'us', 'help']",6.780356673882473e-07
41,"['get', 'us', 'call']",1.130059445647079e-06
42,"['get', 'us', 'take']",6.780356673882473e-07
43,"['get', 'us', 'order']",6.780356673882473e-07
44,"['get', 'us', 'dm']",1.3560713347764946e-06
45,"['get', 'us', 'via']",7.910416119529551e-07
46,"['get', 'please']",2.5602654483216818e-05
47,"['get', 'give']",2.9443052655699343e-05
48,"['get', 'give', 'us']",8.475445842353091e-07
49,"['get', 'give', 'call']",1.073556473364725e-06
50,"['get', 'look']",8.576889251877634e-05
51,"['get', 'one']",2.5602654483216818e-05
52,"['get', 'little']",1.7921858138251773e-05
53,"['get', 'help']",4.864504351811196e-05
54,"['get', 'touch']",0.00014337486510601418
55,"['get', 'touch', 'thanks']",1.130059445647079e-06
56,"['get', 'touch', 'happy']",6.780356673882473e-07
57,"['get', 'touch', 'us']",1.7515921407529722e-06
58,"['get', 'touch', 'look']",1.3560713347764946e-06
59,"['get', 'touch', 'take']",7.910416119529551e-07
60,"['get', 'touch', 'dm']",7.345386396706013e-07
61,"['get', 'send']",4.096424717314691e-05
62,"['get', 'send', 'us']",1.2995683624941406e-06
63,"['get', 'send', 'dm']",9.040475565176631e-07
64,"['get', 'see']",1.536159268993009e-05
65,"['get', 'concerns']",1.6641725414090934e-05
66,"['get', 'concerns', 'us']",6.780356673882473e-07
67,"['get', 'take']",3.712384900066439e-05
68,"['get', 'take', 'look']",1.1865624179294327e-06
69,"['get', 'holiday']",2.0482123586573455e-05
70,"['get', 'mario']",2.0482123586573455e-05
71,"['get', 'latest']",1.536159268993009e-05
72,"['get', 'update']",2.432252175905598e-05
73,"['get', 'additional']",2.0482123586573455e-05
74,"['get', 'tracking']",4.4804645345629434e-05
75,"['get', 'tracking', 'updates']",6.780356673882473e-07
76,"['get', 'team']",6.912716710468541e-05
77,"['get', 'team', 'thanks']",7.910416119529551e-07
78,"['get', 'today']",4.2244379897307755e-05
79,"['get', 'soon']",0.00013313380331272747
80,"['get', 'soon', 'thanks']",9.040475565176631e-07
81,"['get', 'soon', 'possible']",1.5255802516235563e-06
82,"['get', 'soon', 'us']",6.780356673882473e-07
83,"['get', 'soon', 'tracking']",9.040475565176631e-07
84,"['get', 'soon', 'team']",7.910416119529551e-07
85,"['get', 'keep']",1.536159268993009e-05
86,"['get', 'next']",3.328345082818187e-05
87,"['get', 'thanks']",8.320862707045466e-05
88,"['get', 'details']",1.6641725414090934e-05
