,pattern,sup
0,['great'],0.014250550589454592
1,"['great', 'news']",1.8330573563646806e-05
2,"['great', 'us']",3.462441673133286e-05
3,"['great', 'us', 'us']",6.287541111536668e-07
4,"['great', 'us', 'form']",6.287541111536668e-07
5,"['great', 'us', 'hours']",6.287541111536668e-07
6,"['great', 'us', 'allcommunity']",6.287541111536668e-07
7,"['great', 'us', 'within']",6.287541111536668e-07
8,"['great', 'thanks']",2.0367303959607562e-05
9,"['great', 'hear']",1.8330573563646806e-05
10,"['great', 'please']",1.8330573563646806e-05
11,"['great', 'please', 'allcommunity']",6.287541111536668e-07
12,"['great', 'please', 'authorization']",6.287541111536668e-07
13,"['great', 'please', 'us']",7.185761270327621e-07
14,"['great', 'please', 'within']",6.287541111536668e-07
15,"['great', 'please', 'release']",6.287541111536668e-07
16,"['great', 'please', 'form']",6.287541111536668e-07
17,"['great', 'please', 'hours']",6.287541111536668e-07
18,"['great', 'please', 'back']",6.287541111536668e-07
19,"['great', 'please', 'email']",6.287541111536668e-07
20,"['great', 'flick']",2.0367303959607562e-05
21,"['great', 'flick', 'want']",7.185761270327621e-07
22,"['great', 'flick', 'us']",7.185761270327621e-07
23,"['great', 'flick', 'form']",6.287541111536668e-07
24,"['great', 'flick', 'hours']",6.287541111536668e-07
25,"['great', 'flick', 'campaign']",6.287541111536668e-07
26,"['great', 'flick', 'back']",6.287541111536668e-07
27,"['great', 'flick', 'email']",6.287541111536668e-07
28,"['great', 'flick', 'feature']",7.185761270327621e-07
29,"['great', 'flick', 'pulling']",6.287541111536668e-07
30,"['great', 'flick', 'allcommunity']",6.287541111536668e-07
31,"['great', 'flick', 'please']",6.287541111536668e-07
32,"['great', 'flick', 'authorization']",6.287541111536668e-07
33,"['great', 'flick', 'highlights']",6.287541111536668e-07
34,"['great', 'flick', 'within']",6.287541111536668e-07
35,"['great', 'flick', 'release']",6.287541111536668e-07
36,"['great', 'flick', 'marketing']",6.287541111536668e-07
37,"['great', 'flick', 'first']",6.287541111536668e-07
38,"['great', 'flick', 'together']",6.287541111536668e-07
39,"['great', 'flick', 'may']",7.185761270327621e-07
40,"['great', 'model']",1.4257112771725293e-05
41,"['great', 'highlights']",1.629384316768605e-05
42,"['great', 'highlights', 'allcommunity']",6.287541111536668e-07
43,"['great', 'highlights', 'please']",6.287541111536668e-07
44,"['great', 'highlights', 'authorization']",6.287541111536668e-07
45,"['great', 'highlights', 'want']",6.287541111536668e-07
46,"['great', 'highlights', 'us']",6.287541111536668e-07
47,"['great', 'highlights', 'within']",6.287541111536668e-07
48,"['great', 'highlights', 'release']",6.287541111536668e-07
49,"['great', 'highlights', 'form']",6.287541111536668e-07
50,"['great', 'highlights', 'hours']",6.287541111536668e-07
51,"['great', 'highlights', 'marketing']",6.287541111536668e-07
52,"['great', 'highlights', 'campaign']",6.287541111536668e-07
53,"['great', 'highlights', 'first']",6.287541111536668e-07
54,"['great', 'highlights', 'back']",6.287541111536668e-07
55,"['great', 'highlights', 'email']",6.287541111536668e-07
56,"['great', 'highlights', 'feature']",6.287541111536668e-07
57,"['great', 'highlights', 'may']",6.287541111536668e-07
58,"['great', 'marketing']",1.4257112771725293e-05
59,"['great', 'marketing', 'allcommunity']",6.287541111536668e-07
60,"['great', 'marketing', 'please']",6.287541111536668e-07
61,"['great', 'marketing', 'authorization']",6.287541111536668e-07
62,"['great', 'marketing', 'us']",6.287541111536668e-07
63,"['great', 'marketing', 'within']",6.287541111536668e-07
64,"['great', 'marketing', 'release']",6.287541111536668e-07
65,"['great', 'marketing', 'form']",6.287541111536668e-07
66,"['great', 'marketing', 'hours']",6.287541111536668e-07
67,"['great', 'marketing', 'campaign']",6.287541111536668e-07
68,"['great', 'marketing', 'first']",6.287541111536668e-07
69,"['great', 'marketing', 'back']",6.287541111536668e-07
70,"['great', 'marketing', 'email']",6.287541111536668e-07
71,"['great', 'may']",1.629384316768605e-05
72,"['great', 'may', 'allcommunity']",6.287541111536668e-07
73,"['great', 'may', 'please']",6.287541111536668e-07
74,"['great', 'may', 'authorization']",6.287541111536668e-07
75,"['great', 'may', 'want']",7.185761270327621e-07
76,"['great', 'may', 'us']",7.185761270327621e-07
77,"['great', 'may', 'within']",6.287541111536668e-07
78,"['great', 'may', 'release']",6.287541111536668e-07
79,"['great', 'may', 'form']",6.287541111536668e-07
80,"['great', 'may', 'hours']",6.287541111536668e-07
81,"['great', 'may', 'marketing']",6.287541111536668e-07
82,"['great', 'may', 'campaign']",6.287541111536668e-07
83,"['great', 'may', 'first']",6.287541111536668e-07
84,"['great', 'may', 'back']",6.287541111536668e-07
85,"['great', 'may', 'email']",6.287541111536668e-07
86,"['great', 'may', 'feature']",7.185761270327621e-07
87,"['great', 'form']",1.4257112771725293e-05
88,"['great', 'form', 'within']",6.287541111536668e-07
89,"['great', 'form', 'hours']",6.287541111536668e-07
90,"['great', 'form', 'us']",6.287541111536668e-07
91,"['great', 'form', 'back']",6.287541111536668e-07
92,"['great', 'feature']",1.8330573563646806e-05
93,"['great', 'feature', 'allcommunity']",6.287541111536668e-07
94,"['great', 'feature', 'please']",6.287541111536668e-07
95,"['great', 'feature', 'authorization']",6.287541111536668e-07
96,"['great', 'feature', 'us']",7.185761270327621e-07
97,"['great', 'feature', 'within']",6.287541111536668e-07
98,"['great', 'feature', 'release']",6.287541111536668e-07
99,"['great', 'feature', 'form']",6.287541111536668e-07
100,"['great', 'feature', 'hours']",6.287541111536668e-07
101,"['great', 'feature', 'marketing']",6.287541111536668e-07
102,"['great', 'feature', 'campaign']",6.287541111536668e-07
103,"['great', 'feature', 'first']",6.287541111536668e-07
104,"['great', 'feature', 'back']",6.287541111536668e-07
105,"['great', 'feature', 'email']",6.287541111536668e-07
106,"['great', 'day']",1.4257112771725293e-05
107,"['great', 'back']",1.629384316768605e-05
108,"['great', 'back', 'within']",6.287541111536668e-07
109,"['great', 'back', 'hours']",6.287541111536668e-07
110,"['great', 'back', 'us']",6.287541111536668e-07
111,"['great', 'pulling']",1.4257112771725293e-05
112,"['great', 'pulling', 'allcommunity']",6.287541111536668e-07
113,"['great', 'pulling', 'please']",6.287541111536668e-07
114,"['great', 'pulling', 'authorization']",6.287541111536668e-07
115,"['great', 'pulling', 'want']",6.287541111536668e-07
116,"['great', 'pulling', 'us']",6.287541111536668e-07
117,"['great', 'pulling', 'highlights']",6.287541111536668e-07
118,"['great', 'pulling', 'within']",6.287541111536668e-07
119,"['great', 'pulling', 'release']",6.287541111536668e-07
120,"['great', 'pulling', 'form']",6.287541111536668e-07
121,"['great', 'pulling', 'hours']",6.287541111536668e-07
122,"['great', 'pulling', 'marketing']",6.287541111536668e-07
123,"['great', 'pulling', 'campaign']",6.287541111536668e-07
124,"['great', 'pulling', 'first']",6.287541111536668e-07
125,"['great', 'pulling', 'back']",6.287541111536668e-07
126,"['great', 'pulling', 'email']",6.287541111536668e-07
127,"['great', 'pulling', 'feature']",6.287541111536668e-07
128,"['great', 'pulling', 'together']",6.287541111536668e-07
129,"['great', 'pulling', 'may']",6.287541111536668e-07
130,"['great', 'allcommunity']",1.4257112771725293e-05
131,"['great', 'allcommunity', 'within']",6.287541111536668e-07
132,"['great', 'allcommunity', 'form']",6.287541111536668e-07
133,"['great', 'allcommunity', 'hours']",6.287541111536668e-07
134,"['great', 'allcommunity', 'us']",6.287541111536668e-07
135,"['great', 'authorization']",1.4257112771725293e-05
136,"['great', 'authorization', 'within']",6.287541111536668e-07
137,"['great', 'authorization', 'release']",6.287541111536668e-07
138,"['great', 'authorization', 'form']",6.287541111536668e-07
139,"['great', 'authorization', 'hours']",6.287541111536668e-07
140,"['great', 'authorization', 'us']",6.287541111536668e-07
141,"['great', 'authorization', 'back']",6.287541111536668e-07
142,"['great', 'want']",1.629384316768605e-05
143,"['great', 'want', 'allcommunity']",6.287541111536668e-07
144,"['great', 'want', 'please']",6.287541111536668e-07
145,"['great', 'want', 'authorization']",6.287541111536668e-07
146,"['great', 'want', 'us']",6.287541111536668e-07
147,"['great', 'want', 'within']",6.287541111536668e-07
148,"['great', 'want', 'release']",6.287541111536668e-07
149,"['great', 'want', 'form']",6.287541111536668e-07
150,"['great', 'want', 'hours']",6.287541111536668e-07
151,"['great', 'want', 'marketing']",6.287541111536668e-07
152,"['great', 'want', 'campaign']",6.287541111536668e-07
153,"['great', 'want', 'first']",6.287541111536668e-07
154,"['great', 'want', 'back']",6.287541111536668e-07
155,"['great', 'want', 'email']",6.287541111536668e-07
156,"['great', 'want', 'feature']",6.287541111536668e-07
157,"['great', 'email']",1.4257112771725293e-05
158,"['great', 'email', 'within']",6.287541111536668e-07
159,"['great', 'email', 'allcommunity']",6.287541111536668e-07
160,"['great', 'email', 'form']",6.287541111536668e-07
161,"['great', 'email', 'hours']",6.287541111536668e-07
162,"['great', 'email', 'us']",6.287541111536668e-07
163,"['great', 'email', 'back']",6.287541111536668e-07
164,"['great', 'shot']",1.8330573563646806e-05
165,"['great', 'hours']",1.4257112771725293e-05
166,"['great', 'campaign']",1.8330573563646806e-05
167,"['great', 'campaign', 'allcommunity']",6.287541111536668e-07
168,"['great', 'campaign', 'please']",6.287541111536668e-07
169,"['great', 'campaign', 'authorization']",6.287541111536668e-07
170,"['great', 'campaign', 'us']",6.287541111536668e-07
171,"['great', 'campaign', 'within']",6.287541111536668e-07
172,"['great', 'campaign', 'release']",6.287541111536668e-07
173,"['great', 'campaign', 'form']",6.287541111536668e-07
174,"['great', 'campaign', 'hours']",6.287541111536668e-07
175,"['great', 'campaign', 'first']",6.287541111536668e-07
176,"['great', 'campaign', 'back']",6.287541111536668e-07
177,"['great', 'campaign', 'email']",6.287541111536668e-07
178,"['great', 'release']",1.629384316768605e-05
179,"['great', 'release', 'us']",6.287541111536668e-07
180,"['great', 'release', 'within']",6.287541111536668e-07
181,"['great', 'release', 'form']",6.287541111536668e-07
182,"['great', 'release', 'hours']",6.287541111536668e-07
183,"['great', 'release', 'back']",6.287541111536668e-07
184,"['great', 'together']",1.8330573563646806e-05
185,"['great', 'together', 'want']",6.287541111536668e-07
186,"['great', 'together', 'us']",8.083981429118573e-07
187,"['great', 'together', 'form']",6.287541111536668e-07
188,"['great', 'together', 'hours']",6.287541111536668e-07
189,"['great', 'together', 'campaign']",6.287541111536668e-07
190,"['great', 'together', 'back']",6.287541111536668e-07
191,"['great', 'together', 'email']",6.287541111536668e-07
192,"['great', 'together', 'feature']",6.287541111536668e-07
193,"['great', 'together', 'allcommunity']",6.287541111536668e-07
194,"['great', 'together', 'please']",6.287541111536668e-07
195,"['great', 'together', 'authorization']",6.287541111536668e-07
196,"['great', 'together', 'highlights']",6.287541111536668e-07
197,"['great', 'together', 'within']",6.287541111536668e-07
198,"['great', 'together', 'release']",6.287541111536668e-07
199,"['great', 'together', 'marketing']",6.287541111536668e-07
200,"['great', 'together', 'first']",6.287541111536668e-07
201,"['great', 'together', 'may']",6.287541111536668e-07
202,"['great', 'first']",1.4257112771725293e-05
203,"['great', 'first', 'allcommunity']",6.287541111536668e-07
204,"['great', 'first', 'please']",6.287541111536668e-07
205,"['great', 'first', 'authorization']",6.287541111536668e-07
206,"['great', 'first', 'us']",6.287541111536668e-07
207,"['great', 'first', 'within']",6.287541111536668e-07
208,"['great', 'first', 'release']",6.287541111536668e-07
209,"['great', 'first', 'form']",6.287541111536668e-07
210,"['great', 'first', 'hours']",6.287541111536668e-07
211,"['great', 'first', 'back']",6.287541111536668e-07
212,"['great', 'first', 'email']",6.287541111536668e-07
213,"['great', 'within']",1.4257112771725293e-05
214,"['great', 'within', 'hours']",6.287541111536668e-07
215,['news'],0.006995724834823164
216,"['news', 'thank']",1.4257112771725293e-05
217,"['news', 'action']",1.629384316768605e-05
218,"['news', 'families']",1.8330573563646806e-05
219,"['news', 'human']",2.2404034355568318e-05
220,"['news', 'human', 'rights']",9.880421746700477e-07
221,"['news', 'rights']",2.4440764751529074e-05
222,"['news', 'released']",1.629384316768605e-05
223,['product'],0.013602798289933929
224,"['product', 'us']",4.0734607919215124e-05
225,"['product', 'us', 'dm']",6.287541111536668e-07
226,"['product', 'us', 'zip']",7.185761270327621e-07
227,"['product', 'us', 'code']",7.185761270327621e-07
228,"['product', 'dm']",2.0367303959607562e-05
229,"['product', 'dm', 'zip']",7.185761270327621e-07
230,"['product', 'dm', 'code']",7.185761270327621e-07
231,"['product', 'zip']",1.629384316768605e-05
232,"['product', 'zip', 'code']",7.185761270327621e-07
233,"['product', 'code']",1.629384316768605e-05
234,"['product', 'thanks']",3.869787752325437e-05
235,"['product', 'team']",0.00010998344138188084
236,"['product', 'please']",3.869787752325437e-05
237,"['product', 'please', 'us']",1.2575082223073336e-06
238,"['product', 'thank']",1.8330573563646806e-05
239,"['product', 'website']",1.4257112771725293e-05
240,"['product', 'retailers']",1.629384316768605e-05
241,"['product', 'available']",1.4257112771725293e-05
242,['discontinued'],0.0009068532193289286
243,['would'],0.08096903744008291
244,"['would', 'allstate']",2.0367303959607562e-05
245,"['would', 'allstate', 'report']",7.185761270327621e-07
246,"['would', 'allstate', 'sw']",7.185761270327621e-07
247,"['would', 'allstate', 'compliance']",6.287541111536668e-07
248,"['would', 'allstate', 'business']",7.185761270327621e-07
249,"['would', 'allstate', 'process']",6.287541111536668e-07
250,"['would', 'allstate', 'issues']",7.185761270327621e-07
251,"['would', 'allstate', 'potential']",7.185761270327621e-07
252,"['would', 'allstate', 'raise']",6.287541111536668e-07
253,"['would', 'mind']",2.0367303959607562e-05
254,"['would', 'mind', 'sending']",8.982201587909526e-07
255,"['would', 'mind', 'us']",8.982201587909526e-07
256,"['would', 'mind', 'dm']",7.185761270327621e-07
257,"['would', 'mind', 'thanks']",6.287541111536668e-07
258,"['would', 'sending']",2.0367303959607562e-05
259,"['would', 'sending', 'us']",8.982201587909526e-07
260,"['would', 'sending', 'dm']",7.185761270327621e-07
261,"['would', 'sending', 'thanks']",6.287541111536668e-07
262,"['would', 'us']",0.0009918877028328883
263,"['would', 'us', 'sw']",3.098859547828786e-05
264,"['would', 'us', 'us']",3.2785035795869766e-05
265,"['would', 'us', 'provide']",6.287541111536668e-07
266,"['would', 'us', 'dm']",5.11985490510843e-06
267,"['would', 'us', 'regarding']",1.1676862064282383e-06
268,"['would', 'us', 'concern']",3.098859547828786e-05
269,"['would', 'us', 'code']",7.185761270327621e-07
270,"['would', 'us', 'started']",8.083981429118573e-07
271,"['would', 'us', 'review']",7.185761270327621e-07
272,"['would', 'us', 'thanks']",4.221634746317477e-06
273,"['would', 'us', 'name']",1.9760843493400955e-06
274,"['would', 'us', 'policy']",1.9760843493400955e-06
275,"['would', 'us', 'number']",3.952168698680191e-06
276,"['would', 'us', 'phone']",2.065906365219191e-06
