,pattern,sup
0,['hello'],0.04234620886981402
1,"['hello', 'apologize']",0.00011926958333536173
2,"['hello', 'apologize', 'confusion']",1.9689167118697127e-06
3,"['hello', 'apologize', 'tweet']",1.9689167118697127e-06
4,"['hello', 'apologize', 'accidentally']",1.9689167118697127e-06
5,"['hello', 'apologize', 'put']",1.9689167118697127e-06
6,"['hello', 'apologize', 'notified']",1.9689167118697127e-06
7,"['hello', 'apologize', 'everyone']",1.9689167118697127e-06
8,"['hello', 'apologize', 'entered']",1.9689167118697127e-06
9,"['hello', 'apologize', 'picked']",1.9689167118697127e-06
10,"['hello', 'apologize', 'winners']",1.9689167118697127e-06
11,"['hello', 'apologize', 'yet']",1.9689167118697127e-06
12,"['hello', 'apologize', 'appreciate']",1.9689167118697127e-06
13,"['hello', 'apologize', 'participating']",1.9689167118697127e-06
14,"['hello', 'apologize', 'look']",1.093842617705396e-06
15,"['hello', 'apologize', 'us']",2.2970694971813317e-06
16,"['hello', 'apologize', 'number']",9.844583559348564e-07
17,"['hello', 'apologize', 'dm']",2.187685235410792e-06
18,"['hello', 'apologize', 'issues']",1.7501481883286336e-06
19,"['hello', 'apologize', 'hw']",1.5313796647875545e-06
20,"['hello', 'apologize', 'order']",9.844583559348564e-07
21,"['hello', 'apologize', 'please']",1.4219954030170148e-06
22,"['hello', 'apologize', 'store']",1.093842617705396e-06
23,"['hello', 'confusion']",4.3813316327275736e-05
24,"['hello', 'confusion', 'tweet']",1.9689167118697127e-06
25,"['hello', 'confusion', 'accidentally']",1.9689167118697127e-06
26,"['hello', 'confusion', 'put']",1.9689167118697127e-06
27,"['hello', 'confusion', 'notified']",1.9689167118697127e-06
28,"['hello', 'confusion', 'everyone']",1.9689167118697127e-06
29,"['hello', 'confusion', 'entered']",1.9689167118697127e-06
30,"['hello', 'confusion', 'picked']",1.9689167118697127e-06
31,"['hello', 'confusion', 'winners']",1.9689167118697127e-06
32,"['hello', 'confusion', 'yet']",1.9689167118697127e-06
33,"['hello', 'confusion', 'appreciate']",1.9689167118697127e-06
34,"['hello', 'confusion', 'participating']",1.9689167118697127e-06
35,"['hello', 'tweet']",5.354960884444812e-05
36,"['hello', 'tweet', 'accidentally']",1.9689167118697127e-06
37,"['hello', 'tweet', 'put']",1.9689167118697127e-06
38,"['hello', 'tweet', 'notified']",1.9689167118697127e-06
39,"['hello', 'tweet', 'everyone']",1.9689167118697127e-06
40,"['hello', 'tweet', 'entered']",1.9689167118697127e-06
41,"['hello', 'tweet', 'picked']",1.9689167118697127e-06
