,pattern,sup
0,['crisis'],0.0023576480674430233
1,['reaches'],0.0007858826891476745
2,['point'],0.001571765378295349
3,['team'],0.04500964492391227
4,"['team', 'team']",1.634964386628684e-05
5,"['team', 'reach']",1.8273131379967648e-05
6,"['team', 'phone']",1.154092508208483e-05
7,"['team', 'contact']",1.7311387623127244e-05
8,"['team', 'know']",2.9814056462052477e-05
9,"['team', 'know', 'back']",5.952046013527902e-07
10,"['team', 'know', 'see']",5.952046013527902e-07
11,"['team', 'know', 'like']",6.409895706876202e-07
12,"['team', 'know', 'mike']",6.409895706876202e-07
13,"['team', 'time']",2.2120106407329256e-05
14,"['team', 'time', 'us']",5.494196320179601e-07
15,"['team', 'attention']",2.8852312705212074e-05
16,"['team', 'attention', 'thanks']",5.494196320179601e-07
17,"['team', 'attention', 'reaching']",5.494196320179601e-07
18,"['team', 'take']",1.2502668838925231e-05
19,"['team', 'touch']",0.00013368238220081596
20,"['team', 'touch', 'soon']",5.265271473505451e-06
21,"['team', 'touch', 'possible']",5.265271473505451e-06
22,"['team', 'touch', 'shortly']",7.325595093572803e-07
23,"['team', 'see']",2.8852312705212074e-05
24,"['team', 'see', 'back']",5.952046013527902e-07
25,"['team', 'see', 'dm']",5.036346626831302e-07
26,"['team', 'see', 'mike']",5.036346626831302e-07
27,"['team', 'soon']",0.0001154092508208483
28,"['team', 'soon', 'possible']",5.356841412175111e-06
29,"['team', 'like']",1.7311387623127244e-05
30,"['team', 'like', 'see']",5.952046013527902e-07
31,"['team', 'like', 'back']",5.952046013527902e-07
32,"['team', 'like', 'mike']",5.036346626831302e-07
33,"['team', 'possible']",0.00011348576330716749
34,"['team', 'sent']",1.634964386628684e-05
35,"['team', 'sent', 'automated']",7.783444786921102e-07
36,"['team', 'sent', 'email']",7.783444786921102e-07
37,"['team', 'automated']",1.634964386628684e-05
38,"['team', 'automated', 'email']",7.783444786921102e-07
39,"['team', 'way']",1.3464412595765635e-05
40,"['team', 'able']",1.9234875136808048e-05
41,"['team', 'number']",2.0196618893648452e-05
42,"['team', 'number', 'automated']",7.783444786921102e-07
43,"['team', 'number', 'sent']",7.783444786921102e-07
44,"['team', 'number', 'email']",7.783444786921102e-07
45,"['team', 'get']",0.00012598843214609273
46,"['team', 'get', 'touch']",5.4484113508447715e-06
47,"['team', 'get', 'soon']",5.311056442840281e-06
48,"['team', 'get', 'possible']",5.311056442840281e-06
49,"['team', 'nena']",3.462277524625449e-05
50,"['team', 'us']",6.058985668094536e-05
51,"['team', 'us', 'number']",8.699144173617702e-07
52,"['team', 'us', 'automated']",7.783444786921102e-07
53,"['team', 'us', 'know']",5.036346626831302e-07
54,"['team', 'us', 'details']",5.494196320179601e-07
55,"['team', 'us', 'dm']",1.6024739267190505e-06
56,"['team', 'us', 'incident']",8.699144173617702e-07
57,"['team', 'us', 'reference']",8.699144173617702e-07
58,"['team', 'us', 'sent']",7.783444786921102e-07
59,"['team', 'us', 'email']",9.156993866966003e-07
60,"['team', 'help']",3.462277524625449e-05
61,"['team', 'appreciate']",1.2502668838925231e-05
62,"['team', 'customerfirst']",1.7311387623127244e-05
63,"['team', 'customerfirst', 'number']",8.241294480269403e-07
64,"['team', 'customerfirst', 'us']",8.241294480269403e-07
65,"['team', 'customerfirst', 'please']",8.241294480269403e-07
66,"['team', 'customerfirst', 'drop']",7.325595093572803e-07
67,"['team', 'customerfirst', 'dm']",7.783444786921102e-07
68,"['team', 'customerfirst', 'incident']",8.241294480269403e-07
69,"['team', 'customerfirst', 'submitted']",8.241294480269403e-07
70,"['team', 'customerfirst', 'reference']",8.241294480269403e-07
71,"['team', 'customerfirst', 'automated']",7.783444786921102e-07
72,"['team', 'customerfirst', 'sent']",7.783444786921102e-07
73,"['team', 'customerfirst', 'email']",7.783444786921102e-07
74,"['team', 'submitted']",1.7311387623127244e-05
75,"['team', 'submitted', 'number']",8.241294480269403e-07
76,"['team', 'submitted', 'us']",8.241294480269403e-07
77,"['team', 'submitted', 'please']",8.241294480269403e-07
78,"['team', 'submitted', 'drop']",7.325595093572803e-07
79,"['team', 'submitted', 'dm']",7.783444786921102e-07
80,"['team', 'submitted', 'incident']",8.241294480269403e-07
81,"['team', 'submitted', 'reference']",8.241294480269403e-07
82,"['team', 'submitted', 'automated']",7.783444786921102e-07
83,"['team', 'submitted', 'sent']",7.783444786921102e-07
84,"['team', 'submitted', 'email']",7.783444786921102e-07
85,"['team', 'reaching']",2.0196618893648452e-05
86,"['team', 'sorry']",1.2502668838925231e-05
87,"['team', 'please']",4.616370032833932e-05
88,"['team', 'please', 'number']",8.699144173617702e-07
89,"['team', 'please', 'drop']",7.325595093572803e-07
90,"['team', 'please', 'automated']",7.783444786921102e-07
91,"['team', 'please', 'contact']",5.036346626831302e-07
92,"['team', 'please', 'details']",5.494196320179601e-07
93,"['team', 'please', 'us']",1.6482588960538805e-06
94,"['team', 'please', 'send']",5.036346626831302e-07
95,"['team', 'please', 'dm']",1.6024739267190505e-06
96,"['team', 'please', 'incident']",8.699144173617702e-07
97,"['team', 'please', 'reference']",8.699144173617702e-07
98,"['team', 'please', 'sent']",7.783444786921102e-07
99,"['team', 'please', 'email']",8.699144173617702e-07
100,"['team', 'send']",1.8273131379967648e-05
101,"['team', 'send', 'us']",7.783444786921102e-07
102,"['team', 'send', 'dm']",8.699144173617702e-07
103,"['team', 'dm']",4.904893159886053e-05
104,"['team', 'dm', 'number']",8.241294480269403e-07
105,"['team', 'dm', 'automated']",7.325595093572803e-07
106,"['team', 'dm', 'details']",7.325595093572803e-07
107,"['team', 'dm', 'incident']",8.241294480269403e-07
