,pattern,sup
0,['thousands'],0.003293687099725526
1,['covid'],0.04306190911863373
2,"['covid', 'around']",9.518174160378062e-06
3,"['covid', 'country']",9.518174160378062e-06
4,"['covid', 'even']",1.3484080060535587e-05
5,"['covid', 'according']",1.9036348320756124e-05
6,"['covid', 'data']",1.2690898880504083e-05
7,"['covid', 'writes']",1.1104536520441072e-05
8,"['covid', 'week']",9.518174160378062e-06
9,"['covid', 'world']",1.5070442420598598e-05
10,"['covid', 'could']",1.5070442420598598e-05
11,"['covid', 'says']",2.1415891860850638e-05
12,"['covid', 'states']",1.0311355340409568e-05
13,"['covid', 'pandemic']",4.759087080189031e-05
14,"['covid', 'restrictions']",1.1104536520441072e-05
15,"['covid', 'new']",3.0140884841197196e-05
16,"['covid', 'way']",1.1104536520441072e-05
17,"['covid', 'first']",1.7449985960693113e-05
18,"['covid', 'coronavirus']",1.5070442420598598e-05
19,"['covid', 'cases']",2.934770366116569e-05
20,"['covid', 'u']",1.2690898880504083e-05
21,"['covid', 'wsjwhatsnow']",1.0311355340409568e-05
22,"['covid', 'months']",1.3484080060535587e-05
23,"['covid', 'care']",1.1104536520441072e-05
24,"['covid', 'people']",2.776134130110268e-05
25,"['covid', 'get']",1.7449985960693113e-05
26,"['covid', 'time']",1.1104536520441072e-05
27,"['covid', 'said']",2.1415891860850638e-05
28,"['covid', 'administration']",9.518174160378062e-06
29,"['covid', 'shot']",1.1897717700472577e-05
30,"['covid', 'dr']",9.518174160378062e-06
31,"['covid', 'across']",9.518174160378062e-06
32,"['covid', 'day']",2.0622710680819136e-05
33,"['covid', 'may']",1.1897717700472577e-05
34,"['covid', 'year']",9.518174160378062e-06
35,"['covid', 'public']",9.518174160378062e-06
36,"['covid', 'us']",3.1727247201260204e-05
37,"['covid', 'health']",1.9036348320756124e-05
38,"['covid', 'shots']",9.518174160378062e-06
39,"['covid', 'efforts']",1.1104536520441072e-05
40,"['covid', 'say']",1.5070442420598598e-05
41,"['covid', 'vaccination']",2.2209073040882143e-05
42,"['covid', 'workers']",1.6656804780661608e-05
43,"['covid', 'virus']",1.824316714072462e-05
44,"['covid', 'know']",1.4277261240567092e-05
45,"['covid', 'vaccine']",0.00012849535116510384
46,"['covid', 'vaccine', 'shot']",4.6911343463864014e-07
47,"['covid', 'vaccine', 'doses']",5.082062208585268e-07
48,"['covid', 'vaccine', 'vaccine']",6.254845795181869e-07
49,"['covid', 'south']",9.518174160378062e-06
50,"['covid', 'one']",1.7449985960693113e-05
51,"['covid', 'end']",1.2690898880504083e-05
52,"['covid', 'reported']",1.0311355340409568e-05
53,"['covid', 'deaths']",2.0622710680819136e-05
54,"['covid', 'vaccines']",4.441814608176429e-05
55,"['covid', 'relief']",1.7449985960693113e-05
56,"['covid', 'doses']",1.5863623600630102e-05
57,"['covid', 'countries']",1.1104536520441072e-05
58,"['covid', 'rollout']",9.518174160378062e-06
59,['rapid'],0.001036901494358036
60,['testing'],0.0013418725221103994
61,['sitting'],0.0009759072888075633
62,['nursing'],0.001036901494358036
63,['homes'],0.00225678560536749
64,['around'],0.008661177188167123
65,"['around', 'world']",3.569315310141773e-05
66,['country'],0.00994205550472705
67,"['country', 'coronavirus']",9.518174160378062e-06
68,['even'],0.009149130832570906
69,"['even', 'watch']",1.0311355340409568e-05
70,['facilities'],0.0011588899054589814
71,['face'],0.0032326928941750536
72,['delays'],0.0007929246721561452
73,['getting'],0.012381823726745959
74,"['getting', 'also']",9.518174160378062e-05
75,"['getting', 'also', 'help']",4.691134346386402e-06
76,"['getting', 'us']",9.756128514387513e-05
77,"['getting', 'us', 'try']",4.730227132606288e-06
78,"['getting', 'us', 'also']",4.691134346386402e-06
79,"['getting', 'us', 'direction']",4.730227132606288e-06
80,"['getting', 'us', 'exact']",4.730227132606288e-06
81,"['getting', 'us', 'guide']",4.691134346386402e-06
82,"['getting', 'us', 'may']",4.691134346386402e-06
83,"['getting', 'us', 'help']",4.691134346386402e-06
84,"['getting', 'us', 'amp']",4.730227132606288e-06
85,"['getting', 'us', 'wording']",4.730227132606288e-06
86,"['getting', 'us', 'point']",4.730227132606288e-06
87,"['getting', 'us', 'right']",4.730227132606288e-06
88,"['getting', 'guide']",9.518174160378062e-05
89,"['getting', 'guide', 'may']",4.691134346386402e-06
90,"['getting', 'guide', 'also']",4.691134346386402e-06
