,pattern,sup
0,['hey'],0.009787928221859706
1,"['hey', 'tu']",5.08136966625564e-05
2,"['hey', 'tu', 'venir']",8.182311419665248e-07
3,"['hey', 'tu', 'en']",1.3389236868543134e-06
4,"['hey', 'tu', 'dm']",1.1901543883149453e-06
5,"['hey', 'tu', 'avec']",5.206925448877886e-07
6,"['hey', 'tu', 'ton']",1.3389236868543134e-06
7,"['hey', 'tu', 'adresse']",1.1901543883149453e-06
8,"['hey', 'tu', 'e']",1.2645390375846293e-06
9,"['hey', 'tu', 'mail']",1.2645390375846293e-06
10,"['hey', 'tu', 'il']",5.206925448877886e-07
11,"['hey', 'tu', 'pr']",1.0413850897755772e-06
12,"['hey', 'tu', 'ainsi']",4.4630789561810447e-07
13,"['hey', 'tu', 'regarder']",6.694618434271567e-07
14,"['hey', 'tu', 'ensemble']",5.950771941574726e-07
15,"['hey', 'tu', 'num']",5.950771941574726e-07
16,"['hey', 'tu', 'ro']",5.950771941574726e-07
17,"['hey', 'tu', 'ta']",7.438464926968407e-07
18,"['hey', 'tu', 'commande']",5.950771941574726e-07
19,"['hey', 'tu', 'l']",5.206925448877886e-07
20,"['hey', 'tu', 'nom']",8.182311419665248e-07
21,"['hey', 'tu', 'est']",5.206925448877886e-07
22,"['hey', 'tu', 'tes']",5.950771941574726e-07
23,"['hey', 'tu', 'communiquer']",5.206925448877886e-07
24,"['hey', 'tu', 'de']",1.4133083361239974e-06
25,"['hey', 'tu', 'que']",5.950771941574726e-07
26,"['hey', 'tu', 'le']",5.206925448877886e-07
27,"['hey', 'tu', 'pour']",4.4630789561810447e-07
28,"['hey', 'tu', 'nous']",1.4133083361239974e-06
29,"['hey', 'tu', 'et']",1.4876929853936815e-06
30,"['hey', 'tu', 'va']",5.950771941574726e-07
31,"['hey', 'peux']",2.0325478665022562e-05
32,"['hey', 'peux', 'tu']",7.438464926968407e-07
33,"['hey', 'peux', 'venir']",7.438464926968407e-07
34,"['hey', 'peux', 'en']",8.182311419665248e-07
35,"['hey', 'peux', 'dm']",8.182311419665248e-07
36,"['hey', 'peux', 'ton']",7.438464926968407e-07
37,"['hey', 'peux', 'communiquer']",5.206925448877886e-07
38,"['hey', 'peux', 'adresse']",7.438464926968407e-07
39,"['hey', 'peux', 'e']",7.438464926968407e-07
40,"['hey', 'peux', 'mail']",7.438464926968407e-07
41,"['hey', 'peux', 'de']",4.4630789561810447e-07
42,"['hey', 'peux', 'nous']",7.438464926968407e-07
43,"['hey', 'peux', 'et']",5.950771941574726e-07
44,"['hey', 'peux', 'pr']",5.206925448877886e-07
45,"['hey', 'peux', 'nom']",5.206925448877886e-07
46,"['hey', 'venir']",2.3713058442526322e-05
47,"['hey', 'venir', 'en']",7.438464926968407e-07
