,pattern,sup
0,['due'],0.00983502538071066
1,"['due', 'high']",7.821054278116691e-05
2,"['due', 'high', 'prioritize']",7.558529472973974e-07
3,"['due', 'high', 'demand']",3.3593464324328775e-06
4,"['due', 'high', 'certain']",3.3593464324328775e-06
5,"['due', 'high', 'products']",3.3593464324328775e-06
6,"['due', 'high', 'unprecedented']",2.60349348513548e-06
7,"['due', 'high', 'time']",2.60349348513548e-06
8,"['due', 'high', 'temporarily']",1.8476405378380824e-06
9,"['due', 'high', 'shift']",2.60349348513548e-06
10,"['due', 'high', 'focus']",2.60349348513548e-06
11,"['due', 'high', 'toward']",2.60349348513548e-06
12,"['due', 'high', 'producing']",2.60349348513548e-06
13,"['due', 'high', 'highest']",2.60349348513548e-06
14,"['due', 'high', 'please']",3.1073954500004116e-06
15,"['due', 'high', 'send']",2.435526163513836e-06
16,"['due', 'high', 'us']",3.1073954500004116e-06
17,"['due', 'high', 'dm']",3.1073954500004116e-06
18,"['due', 'high', 'assistance']",3.1073954500004116e-06
19,"['due', 'demand']",0.0001508346182208219
20,"['due', 'demand', 'fan']",9.238202689190412e-07
21,"['due', 'demand', 'prioritize']",7.558529472973974e-07
22,"['due', 'demand', 'prioritizing']",9.238202689190412e-07
23,"['due', 'demand', 'meantime']",1.0078039297298632e-06
24,"['due', 'demand', 'demand']",4.367150362162741e-06
25,"['due', 'demand', 'certain']",4.367150362162741e-06
26,"['due', 'demand', 'products']",4.367150362162741e-06
27,"['due', 'demand', 'unprecedented']",2.60349348513548e-06
28,"['due', 'demand', 'different']",8.398366081082194e-07
29,"['due', 'demand', 'time']",3.527313754054521e-06
30,"['due', 'demand', 'package']",8.398366081082194e-07
31,"['due', 'demand', 'temporarily']",5.2909706310817816e-06
32,"['due', 'demand', 'shift']",2.60349348513548e-06
33,"['due', 'demand', 'plastic']",2.351542502703014e-06
34,"['due', 'demand', 'focus']",4.451134022973562e-06
35,"['due', 'demand', 'popular']",1.4277222337839728e-06
36,"['due', 'demand', 'toward']",2.60349348513548e-06
37,"['due', 'demand', 'producing']",3.611297414865343e-06
38,"['due', 'demand', 'highest']",2.60349348513548e-06
39,"['due', 'demand', 'please']",3.1073954500004116e-06
40,"['due', 'demand', 'check']",1.0078039297298632e-06
41,"['due', 'demand', 'produce']",1.343738572973151e-06
42,"['due', 'demand', 'send']",2.435526163513836e-06
43,"['due', 'demand', 'back']",7.558529472973974e-07
44,"['due', 'demand', 'us']",3.1073954500004116e-06
45,"['due', 'demand', 'dm']",3.1073954500004116e-06
46,"['due', 'demand', 'assistance']",3.1073954500004116e-06
47,"['due', 'demand', 'options']",2.435526163513836e-06
48,"['due', 'demand', 'lookout']",7.558529472973974e-07
49,"['due', 'demand', 'packaging']",9.238202689190412e-07
50,"['due', 'demand', 'well']",1.4277222337839728e-06
51,"['due', 'demand', 'bottle']",2.351542502703014e-06
52,"['due', 'demand', 'keep']",7.558529472973974e-07
53,"['due', 'demand', 'retailer']",7.558529472973974e-07
54,"['due', 'demand', 'putting']",1.0078039297298632e-06
55,"['due', 'demand', 'thanks']",9.238202689190412e-07
56,"['due', 'demand', 'look']",6.718692864865755e-07
57,"['due', 'demand', 'flavor']",6.718692864865755e-07
58,"['due', 'demand', 'shifting']",1.5117058945947949e-06
59,"['due', 'demand', 'checking']",7.558529472973974e-07
60,"['due', 'demand', 'beverages']",3.4433300932436993e-06
61,"['due', 'demand', 'order']",8.398366081082194e-07
62,"['due', 'certain']",9.683210058620664e-05
63,"['due', 'certain', 'putting']",1.0078039297298632e-06
64,"['due', 'certain', 'prioritize']",7.558529472973974e-07
65,"['due', 'certain', 'demand']",3.3593464324328775e-06
66,"['due', 'certain', 'products']",4.367150362162741e-06
67,"['due', 'certain', 'unprecedented']",2.60349348513548e-06
68,"['due', 'certain', 'time']",2.60349348513548e-06
69,"['due', 'certain', 'temporarily']",2.8554444675679456e-06
70,"['due', 'certain', 'shift']",2.60349348513548e-06
71,"['due', 'certain', 'focus']",3.611297414865343e-06
72,"['due', 'certain', 'toward']",2.60349348513548e-06
73,"['due', 'certain', 'producing']",3.611297414865343e-06
74,"['due', 'certain', 'highest']",2.60349348513548e-06
75,"['due', 'certain', 'please']",3.1073954500004116e-06
76,"['due', 'certain', 'send']",2.435526163513836e-06
77,"['due', 'certain', 'us']",3.1073954500004116e-06
78,"['due', 'certain', 'dm']",3.1073954500004116e-06
79,"['due', 'certain', 'assistance']",3.1073954500004116e-06
80,"['due', 'certain', 'beverages']",1.0078039297298632e-06
81,"['due', 'products']",9.869425636671062e-05
82,"['due', 'products', 'prioritize']",7.558529472973974e-07
83,"['due', 'products', 'demand']",3.3593464324328775e-06
84,"['due', 'products', 'products']",3.3593464324328775e-06
85,"['due', 'products', 'unprecedented']",2.687477145946302e-06
86,"['due', 'products', 'time']",2.687477145946302e-06
87,"['due', 'products', 'temporarily']",2.8554444675679456e-06
88,"['due', 'products', 'shift']",2.60349348513548e-06
89,"['due', 'products', 'focus']",3.611297414865343e-06
90,"['due', 'products', 'toward']",2.60349348513548e-06
91,"['due', 'products', 'producing']",3.611297414865343e-06
92,"['due', 'products', 'highest']",2.60349348513548e-06
93,"['due', 'products', 'please']",3.1073954500004116e-06
94,"['due', 'products', 'send']",2.435526163513836e-06
95,"['due', 'products', 'us']",3.1073954500004116e-06
96,"['due', 'products', 'dm']",3.1073954500004116e-06
97,"['due', 'products', 'assistance']",3.1073954500004116e-06
98,"['due', 'products', 'putting']",1.0078039297298632e-06
99,"['due', 'products', 'beverages']",1.0078039297298632e-06
100,"['due', 'unprecedented']",6.145114075663114e-05
101,"['due', 'unprecedented', 'demand']",2.60349348513548e-06
102,"['due', 'unprecedented', 'products']",2.60349348513548e-06
103,"['due', 'unprecedented', 'time']",2.7714608067571238e-06
104,"['due', 'unprecedented', 'temporarily']",1.175771251351507e-06
105,"['due', 'unprecedented', 'shift']",2.60349348513548e-06
106,"['due', 'unprecedented', 'focus']",2.60349348513548e-06
107,"['due', 'unprecedented', 'toward']",2.60349348513548e-06
108,"['due', 'unprecedented', 'producing']",2.60349348513548e-06
109,"['due', 'unprecedented', 'highest']",2.60349348513548e-06
110,"['due', 'unprecedented', 'please']",2.519509824324658e-06
111,"['due', 'unprecedented', 'send']",1.9316241986489045e-06
112,"['due', 'unprecedented', 'us']",2.519509824324658e-06
113,"['due', 'unprecedented', 'dm']",2.519509824324658e-06
114,"['due', 'unprecedented', 'assistance']",2.519509824324658e-06
115,"['due', 'time']",8.193485434217485e-05
116,"['due', 'time', 'demand']",2.60349348513548e-06
117,"['due', 'time', 'products']",2.60349348513548e-06
118,"['due', 'time', 'temporarily']",1.0917875905406852e-06
119,"['due', 'time', 'shift']",2.60349348513548e-06
120,"['due', 'time', 'plastic']",9.238202689190412e-07
121,"['due', 'time', 'focus']",2.60349348513548e-06
122,"['due', 'time', 'toward']",2.60349348513548e-06
123,"['due', 'time', 'checking']",7.558529472973974e-07
124,"['due', 'time', 'producing']",2.60349348513548e-06
125,"['due', 'time', 'highest']",2.60349348513548e-06
126,"['due', 'time', 'please']",2.519509824324658e-06
127,"['due', 'time', 'send']",1.9316241986489045e-06
128,"['due', 'time', 'back']",7.558529472973974e-07
129,"['due', 'time', 'us']",2.519509824324658e-06
130,"['due', 'time', 'dm']",2.519509824324658e-06
131,"['due', 'time', 'assistance']",2.519509824324658e-06
132,"['due', 'time', 'options']",9.238202689190412e-07
133,"['due', 'time', 'lookout']",7.558529472973974e-07
134,"['due', 'time', 'packaging']",9.238202689190412e-07
135,"['due', 'time', 'well']",9.238202689190412e-07
136,"['due', 'time', 'bottle']",9.238202689190412e-07
137,"['due', 'time', 'keep']",7.558529472973974e-07
138,"['due', 'time', 'retailer']",7.558529472973974e-07
139,"['due', 'temporarily']",0.00011917796995225433
140,"['due', 'temporarily', 'fan']",9.238202689190412e-07
141,"['due', 'temporarily', 'prioritize']",7.558529472973974e-07
142,"['due', 'temporarily', 'prioritizing']",9.238202689190412e-07
143,"['due', 'temporarily', 'meantime']",1.0078039297298632e-06
144,"['due', 'temporarily', 'demand']",2.8554444675679456e-06
145,"['due', 'temporarily', 'products']",1.8476405378380824e-06
146,"['due', 'temporarily', 'different']",8.398366081082194e-07
147,"['due', 'temporarily', 'time']",1.0078039297298632e-06
148,"['due', 'temporarily', 'package']",8.398366081082194e-07
149,"['due', 'temporarily', 'shift']",1.0917875905406852e-06
150,"['due', 'temporarily', 'plastic']",2.351542502703014e-06
151,"['due', 'temporarily', 'focus']",2.9394281283787674e-06
152,"['due', 'temporarily', 'popular']",1.5117058945947949e-06
153,"['due', 'temporarily', 'toward']",1.0917875905406852e-06
154,"['due', 'temporarily', 'producing']",2.099591520270548e-06
155,"['due', 'temporarily', 'highest']",1.0917875905406852e-06
156,"['due', 'temporarily', 'please']",1.6796732162164388e-06
157,"['due', 'temporarily', 'check']",1.0078039297298632e-06
158,"['due', 'temporarily', 'produce']",1.4277222337839728e-06
159,"['due', 'temporarily', 'send']",1.5117058945947949e-06
160,"['due', 'temporarily', 'back']",7.558529472973974e-07
161,"['due', 'temporarily', 'us']",1.6796732162164388e-06
162,"['due', 'temporarily', 'dm']",1.6796732162164388e-06
163,"['due', 'temporarily', 'assistance']",1.6796732162164388e-06
164,"['due', 'temporarily', 'options']",2.435526163513836e-06
165,"['due', 'temporarily', 'lookout']",7.558529472973974e-07
166,"['due', 'temporarily', 'packaging']",9.238202689190412e-07
167,"['due', 'temporarily', 'well']",1.4277222337839728e-06
168,"['due', 'temporarily', 'bottle']",2.351542502703014e-06
169,"['due', 'temporarily', 'keep']",7.558529472973974e-07
170,"['due', 'temporarily', 'retailer']",7.558529472973974e-07
171,"['due', 'temporarily', 'putting']",1.0078039297298632e-06
172,"['due', 'temporarily', 'thanks']",9.238202689190412e-07
173,"['due', 'temporarily', 'look']",6.718692864865755e-07
174,"['due', 'temporarily', 'flavor']",6.718692864865755e-07
175,"['due', 'temporarily', 'shifting']",1.5117058945947949e-06
176,"['due', 'temporarily', 'checking']",7.558529472973974e-07
177,"['due', 'temporarily', 'beverages']",3.527313754054521e-06
178,"['due', 'temporarily', 'order']",8.398366081082194e-07
179,"['due', 'shift']",5.772682919562319e-05
180,"['due', 'shift', 'us']",2.519509824324658e-06
181,"['due', 'shift', 'dm']",2.519509824324658e-06
182,"['due', 'shift', 'assistance']",2.519509824324658e-06
183,"['due', 'shift', 'demand']",2.60349348513548e-06
184,"['due', 'shift', 'products']",2.60349348513548e-06
