,pattern,sup
0,['people'],0.014386109962794543
1,"['people', 'people']",2.4622311331539422e-05
2,"['people', 'ecuador']",2.110483828417665e-05
3,['united'],0.002728400165357586
4,"['united', 'states']",2.9898520902583584e-05
5,['states'],0.0028110789582472097
6,['speak'],0.0009094667217858619
7,['world'],0.0156262918561389
8,"['world', 'us']",2.9898520902583584e-05
9,"['world', 'global']",3.5174730473627745e-05
10,"['world', 'makeamazonpay']",1.934610176049526e-05
11,"['world', 'day']",2.110483828417665e-05
12,"['world', 'join']",2.8139784378902195e-05
13,['told'],0.0014055394791236049
14,['listen'],0.0009094667217858619
15,['hashtag'],0.004216618437370814
16,"['hashtag', 'merch']",7.210819747093688e-05
17,"['hashtag', 'cod']",7.210819747093688e-05
18,"['hashtag', 'cod', 'merch']",3.836872286524147e-06
19,"['hashtag', 'get']",7.210819747093688e-05
20,"['hashtag', 'get', 'merch']",3.836872286524147e-06
21,"['hashtag', 'get', 'cod']",3.836872286524147e-06
22,['today'],0.014716825134353038
23,"['today', 'today']",1.934610176049526e-05
24,"['today', 'us']",3.869220352099052e-05
25,"['today', 'movement']",2.110483828417665e-05
26,"['today', 'amp']",2.2863574807858034e-05
27,"['today', 'day']",3.5174730473627745e-05
28,"['today', 'join']",2.9898520902583584e-05
29,"['today', 'celebrate']",1.934610176049526e-05
30,['planetary'],0.0019016122364613477
31,"['planetary', 'movement']",2.110483828417665e-05
32,['impact'],0.0028937577511368336
33,"['impact', 'us']",2.8139784378902195e-05
34,"['impact', 'us', 'election']",1.0294047597991612e-06
35,"['impact', 'election']",2.4622311331539422e-05
36,['us'],0.26473749483257547
37,"['us', 'people']",2.2863574807858034e-05
38,"['us', 'world']",4.0450940044671906e-05
39,"['us', 'us']",0.0003675759334494099
40,"['us', 'us', 'us']",2.807467526724985e-06
41,"['us', 'us', 'phone']",2.433138523161654e-06
42,"['us', 'us', 'dm']",3.556125533851648e-06
43,"['us', 'us', 'assist']",2.339556272270821e-06
44,"['us', 'us', 'ag']",4.117619039196645e-06
45,"['us', 'us', 'rr']",1.216569261580827e-06
46,"['us', 'us', 'help']",4.304783540978311e-06
47,"['us', 'us', 'mk']",2.526720774052487e-06
48,"['us', 'us', 'follow']",1.3101515124716598e-06
49,"['us', 'us', 'using']",2.7138852758341526e-06
50,"['us', 'us', 'contact']",2.6203030249433195e-06
51,"['us', 'us', 'via']",2.433138523161654e-06
52,"['us', 'us', 'team']",1.4973160142533254e-06
53,"['us', 'us', 'regards']",2.245974021379988e-06
54,"['us', 'us', 'page']",3.088214279397484e-06
55,"['us', 'us', 'know']",1.4037337633624926e-06
56,"['us', 'based']",0.0003324012029757822
57,"['us', 'based', 'please']",1.7687045418367406e-05
58,"['us', 'based', 'rr']",2.0588095195983225e-06
59,"['us', 'based', 'zb']",1.122987010689994e-06
60,"['us', 'based', 'mk']",4.211201290087478e-06
61,"['us', 'based', 'nb']",1.4973160142533254e-06
62,"['us', 'based', 'location']",1.7687045418367406e-05
63,"['us', 'based', 'assistance']",1.7687045418367406e-05
64,"['us', 'based', 'visit']",7.673744573048293e-06
65,"['us', 'based', 'team']",9.826136343537448e-06
66,"['us', 'based', 'share']",9.919718594428281e-06
67,"['us', 'based', 'jh']",1.216569261580827e-06
68,"['us', 'based', 'ag']",5.334188300777472e-06
69,"['us', 'location']",0.0003447123586415519
70,"['us', 'location', 'please']",1.7687045418367406e-05
71,"['us', 'location', 'rr']",2.0588095195983225e-06
72,"['us', 'location', 'zb']",1.122987010689994e-06
73,"['us', 'location', 'mk']",4.211201290087478e-06
74,"['us', 'location', 'nb']",1.4973160142533254e-06
75,"['us', 'location', 'assistance']",1.7687045418367406e-05
76,"['us', 'location', 'visit']",7.673744573048293e-06
77,"['us', 'location', 'team']",9.919718594428281e-06
78,"['us', 'location', 'share']",9.919718594428281e-06
79,"['us', 'location', 'jh']",1.3101515124716598e-06
