,pattern,sup
0,['offer'],0.007573263088574251
1,"['offer', 'food']",2.0132471663546134e-05
2,['food'],0.012759301942706618
3,"['food', 'food']",3.5231825411205736e-05
4,"['food', 'food', 'open']",6.09991942514766e-07
5,"['food', 'non']",1.6357633226631235e-05
6,"['food', 'non', 'food']",6.608246043909965e-07
7,"['food', 'non', 'open']",6.09991942514766e-07
8,"['food', 'open']",1.7615912705602868e-05
9,"['food', 'team']",8.807956352801434e-05
10,"['food', 'team', 'know']",1.3724818706582235e-06
11,"['food', 'team', 'thanks']",1.423314532534454e-06
12,"['food', 'team', 'back']",8.13322590019688e-07
13,"['food', 'team', 'future']",7.624899281434575e-07
14,"['food', 'team', 'see']",7.624899281434575e-07
15,"['food', 'know']",3.7748384369149e-05
16,"['food', 'know', 'see']",7.624899281434575e-07
17,"['food', 'thanks']",6.920537134343983e-05
18,"['food', 'thanks', 'sarah']",6.608246043909965e-07
19,"['food', 'help']",2.0132471663546134e-05
20,"['food', 'store']",1.50993537476596e-05
21,"['food', 'back']",2.5165589579432666e-05
22,"['food', 'clothing']",1.6357633226631235e-05
23,"['food', 'see']",2.1390751142517767e-05
24,"['food', 'sarah']",1.6357633226631235e-05
25,"['food', 'future']",2.1390751142517767e-05
26,"['food', 'future', 'thanks']",6.608246043909965e-07
27,"['food', 'simon']",1.50993537476596e-05
28,['amp'],0.024119196575567995
29,"['amp', 'amp']",5.7880856032695136e-05
30,"['amp', 'get']",1.88741921845745e-05
31,"['amp', 'please']",3.01987074953192e-05
32,"['amp', 'us']",2.8940428016347568e-05
33,"['amp', 'number']",3.39735459322341e-05
34,"['amp', 'email']",1.6357633226631235e-05
35,"['amp', 'address']",1.50993537476596e-05
36,"['amp', 'thanks']",6.79470918644682e-05
37,"['amp', 'help']",4.026494332709227e-05
38,"['amp', 'dm']",3.01987074953192e-05
39,"['amp', 'dm', 'us']",9.14987913772149e-07
40,"['amp', 'look']",3.01987074953192e-05
41,"['amp', 'full']",1.50993537476596e-05
42,"['amp', 'contact']",6.41722534275533e-05
43,"['amp', 'contact', 'details']",1.8808084894205284e-06
44,"['amp', 'details']",5.4106017595780234e-05
45,"['amp', 'dob']",3.01987074953192e-05
46,"['amp', 'dob', 'thanks']",1.01665323752461e-06
