,pattern,sup
0,['mission'],0.003155722781891006
1,['need'],0.010438159970870251
2,"['need', 'help']",2.9395337899409152e-05
3,"['need', 'us']",1.4697668949704576e-05
4,"['need', 'new']",2.0996669928149397e-05
5,"['need', 'recipe']",1.2598001956889637e-05
6,"['need', 'get']",2.7295670906594215e-05
7,"['need', 'know']",1.4697668949704576e-05
8,"['need', 'find']",1.2598001956889637e-05
9,"['need', 'dish']",1.2598001956889637e-05
10,"['need', 'support']",1.2598001956889637e-05
11,['two'],0.006918315329530283
12,['strong'],0.0007282437188979245
13,['runs'],0.0008496176720475786
14,['today'],0.02075494598859085
15,"['today', 'today']",2.9395337899409152e-05
16,"['today', 'today', 'pm']",6.281434654549361e-07
17,"['today', 'us']",4.829234083474361e-05
18,"['today', 'thanks']",2.5196003913779274e-05
19,"['today', 'tune']",1.8897002935334456e-05
20,"['today', 'tune', 'pm']",6.281434654549361e-07
21,"['today', 'tune', 'today']",6.281434654549361e-07
22,"['today', 'chef']",1.4697668949704576e-05
23,"['today', 'chef', 'today']",6.281434654549361e-07
24,"['today', 'chef', 'tune']",6.281434654549361e-07
25,"['today', 'chef', 'impossible']",6.281434654549361e-07
26,"['today', 'chef', 'pm']",6.281434654549361e-07
27,"['today', 'new']",1.2598001956889637e-05
28,"['today', 'pt']",3.149500489222409e-05
29,"['today', 'full']",1.6797335942519515e-05
30,"['today', 'get']",1.4697668949704576e-05
31,"['today', 'amp']",2.3096336920964334e-05
32,"['today', 'see']",1.8897002935334456e-05
33,"['today', 'first']",1.2598001956889637e-05
34,"['today', 'pm']",4.619267384192867e-05
35,"['today', 'pm', 'pt']",1.57035866363734e-06
36,"['today', 'head']",2.5196003913779274e-05
37,"['today', 'head', 'chef']",7.328340430307588e-07
38,"['today', 'head', 'today']",6.281434654549361e-07
39,"['today', 'head', 'impossible']",6.281434654549361e-07
40,"['today', 'head', 'tune']",6.281434654549361e-07
41,"['today', 'head', 'pm']",6.281434654549361e-07
42,"['today', 'set']",1.2598001956889637e-05
43,"['today', 'live']",2.7295670906594215e-05
44,"['today', 'live', 'chef']",6.281434654549361e-07
45,"['today', 'live', 'today']",6.281434654549361e-07
46,"['today', 'live', 'impossible']",7.328340430307588e-07
47,"['today', 'live', 'head']",6.281434654549361e-07
48,"['today', 'live', 'tune']",6.281434654549361e-07
49,"['today', 'live', 'pm']",6.281434654549361e-07
50,"['today', 'flight']",2.9395337899409152e-05
51,"['today', 'flight', 'flight']",6.281434654549361e-07
52,"['today', 'mike']",1.2598001956889637e-05
53,"['today', 'also']",1.8897002935334456e-05
54,"['today', 'million']",1.2598001956889637e-05
55,"['today', 'whataday']",3.359467188503903e-05
56,"['today', 'join']",1.4697668949704576e-05
57,"['today', 'join', 'us']",6.281434654549361e-07
58,"['today', 'impossible']",1.6797335942519515e-05
59,"['today', 'impossible', 'today']",6.281434654549361e-07
60,"['today', 'impossible', 'tune']",6.281434654549361e-07
61,"['today', 'impossible', 'pm']",6.281434654549361e-07
62,"['today', 'cookimpossible']",2.0996669928149397e-05
63,"['today', 'cookimpossible', 'chef']",6.281434654549361e-07
64,"['today', 'cookimpossible', 'today']",6.281434654549361e-07
65,"['today', 'cookimpossible', 'impossible']",7.328340430307588e-07
66,"['today', 'cookimpossible', 'head']",6.281434654549361e-07
67,"['today', 'cookimpossible', 'tune']",6.281434654549361e-07
68,"['today', 'cookimpossible', 'pm']",6.281434654549361e-07
69,"['today', 'cookimpossible', 'live']",7.328340430307588e-07
70,['help'],0.021968685520087388
71,"['help', 'help']",2.0996669928149397e-05
72,"['help', 'please']",1.2598001956889637e-05
73,"['help', 'us']",2.7295670906594215e-05
74,"['help', 'thanks']",5.669100880600337e-05
75,"['help', 'leather']",1.2598001956889637e-05
76,"['help', 'problem']",1.2598001956889637e-05
77,"['help', 'get']",2.7295670906594215e-05
78,"['help', 'go']",1.2598001956889637e-05
79,"['help', 'businesses']",1.4697668949704576e-05
80,"['help', 'find']",1.4697668949704576e-05
81,"['help', 'keep']",1.6797335942519515e-05
82,"['help', 'give']",1.6797335942519515e-05
83,"['help', 'support']",2.3096336920964334e-05
84,['tomorrow'],0.004733584172836509
85,"['tomorrow', 'pm']",1.2598001956889637e-05
86,"['tomorrow', 'pst']",1.2598001956889637e-05
87,['plan'],0.0036412185944896223
88,"['plan', 'continue']",2.3096336920964334e-05
89,['nhrafinals'],0.0007282437188979245
90,"['nhrafinals', 'nhrapsm']",1.2598001956889637e-05
91,['nhrapsm'],0.0008496176720475786
92,['gentleman'],0.001577861390945503
93,"['gentleman', 'jack']",2.3096336920964334e-05
94,"['gentleman', 'jack', 'gentlemanjack']",1.0469057757582268e-06
95,"['gentleman', 'gentlemanjack']",2.0996669928149397e-05
96,['jack'],0.01250151717441437
97,"['jack', 'jack']",4.829234083474361e-05
98,"['jack', 'jack', 'lemon']",7.328340430307588e-07
99,"['jack', 'jack', 'juice']",1.1515963533340494e-06
100,"['jack', 'jack', 'jackdaniels']",7.328340430307588e-07
101,"['jack', 'jack', 'bitters']",6.281434654549361e-07
102,"['jack', 'jack', 'cranberries']",6.281434654549361e-07
103,"['jack', 'jack', 'oz']",1.7797398187889855e-06
104,"['jack', 'jack', 'daniel']",1.6750492412131629e-06
