,pattern,sup
0,['aww'],0.000998003992015968
1,['thank'],0.03629105425512611
2,"['thank', 'much']",3.595630281884572e-05
3,"['thank', 'much', 'us']",7.85533280718717e-07
4,"['thank', 'kind']",1.9262305081524496e-05
5,"['thank', 'kind', 'words']",7.85533280718717e-07
6,"['thank', 'words']",2.1830612425727762e-05
7,"['thank', 'help']",1.4125690393117964e-05
8,"['thank', 'paul']",1.2841536721016331e-05
9,"['thank', 'please']",6.934429829348818e-05
10,"['thank', 'please', 'message']",1.571066561437434e-06
11,"['thank', 'please', 'direct']",1.4502152874807083e-06
12,"['thank', 'please', 'residence']",9.668101916538055e-07
13,"['thank', 'please', 'matter']",1.2689383765456198e-06
14,"['thank', 'please', 'send']",2.1148972942426995e-06
15,"['thank', 'please', 'dm']",6.042563697836285e-07
16,"['thank', 'please', 'number']",6.042563697836285e-07
17,"['thank', 'please', 'along']",1.2689383765456198e-06
18,"['thank', 'please', 'next']",1.5106409244590713e-06
19,"['thank', 'please', 'detailing']",1.208512739567257e-06
20,"['thank', 'please', 'may']",1.6919178353941599e-06
21,"['thank', 'please', 'steps']",1.5106409244590713e-06
22,"['thank', 'please', 'country']",9.668101916538055e-07
23,"['thank', 'please', 'advise']",1.5106409244590713e-06
24,"['thank', 'get']",1.5409844065219595e-05
25,"['thank', 'touch']",1.669399773732123e-05
26,"['thank', 'sarah']",3.595630281884572e-05
27,"['thank', 'back']",2.3114766097829396e-05
28,"['thank', 'givealittlelove']",1.797815140942286e-05
29,"['thank', 'sure']",1.2841536721016331e-05
30,"['thank', 'know']",1.2841536721016331e-05
31,"['thank', 'feedback']",2.3114766097829396e-05
32,"['thank', 'happy']",1.4125690393117964e-05
33,"['thank', 'send']",4.7513685867760424e-05
34,"['thank', 'send', 'next']",1.5106409244590713e-06
35,"['thank', 'send', 'detailing']",1.208512739567257e-06
36,"['thank', 'send', 'may']",1.6919178353941599e-06
37,"['thank', 'send', 'along']",1.2689383765456198e-06
38,"['thank', 'send', 'steps']",1.5106409244590713e-06
39,"['thank', 'send', 'message']",1.6314921984157969e-06
40,"['thank', 'send', 'matter']",1.208512739567257e-06
41,"['thank', 'send', 'country']",9.668101916538055e-07
42,"['thank', 'send', 'direct']",1.5106409244590713e-06
