,pattern,sup
0,['story'],0.007396915328926661
1,"['story', 'kim']",1.1262149043280438e-05
2,"['story', 'kim', 'jones']",4.750281276030057e-07
3,"['story', 'jones']",1.1262149043280438e-05
4,"['story', 'us']",1.970876082574077e-05
5,"['story', 'us', 'love']",5.937851595037572e-07
6,"['story', 'fill']",3.3786447129841315e-05
7,"['story', 'fill', 'survey']",1.425084382809017e-06
8,"['story', 'fill', 'short']",8.3129922330526e-07
9,"['story', 'fill', 'quick']",4.750281276030057e-07
10,"['story', 'survey']",3.3786447129841315e-05
11,"['story', 'love']",3.097090986902121e-05
12,"['story', 'love', 'love']",4.750281276030057e-07
13,"['story', 'love', 'quick']",4.750281276030057e-07
14,"['story', 'love', 'learn']",9.500562552060114e-07
15,"['story', 'love', 'fill']",1.1875703190075143e-06
16,"['story', 'love', 'survey']",1.1875703190075143e-06
17,"['story', 'love', 'short']",7.125421914045085e-07
18,"['story', 'love', 'minutes']",7.125421914045085e-07
19,"['story', 'behind']",1.4077686304100548e-05
20,"['story', 'behind', 'collaboration']",4.750281276030057e-07
21,"['story', 'learn']",2.2524298086560877e-05
22,"['story', 'learn', 'fill']",9.500562552060114e-07
23,"['story', 'learn', 'survey']",9.500562552060114e-07
24,"['story', 'learn', 'short']",5.937851595037572e-07
25,"['story', 'learn', 'minutes']",5.937851595037572e-07
26,"['story', 'minutes']",3.3786447129841315e-05
27,"['story', 'minutes', 'fill']",1.425084382809017e-06
28,"['story', 'minutes', 'survey']",1.425084382809017e-06
29,"['story', 'minutes', 'love']",5.937851595037572e-07
30,"['story', 'minutes', 'short']",8.3129922330526e-07
31,"['story', 'minutes', 'quick']",4.750281276030057e-07
32,"['story', 'discover']",1.1262149043280438e-05
33,"['story', 'season']",1.1262149043280438e-05
34,"['story', 'collaboration']",1.1262149043280438e-05
35,"['story', 'quick']",1.1262149043280438e-05
36,"['story', 'quick', 'survey']",4.750281276030057e-07
37,"['story', 'short']",1.970876082574077e-05
38,"['story', 'short', 'survey']",8.3129922330526e-07
39,['diorspring'],0.00456405413912496
40,"['diorspring', 'kim']",5.631074521640219e-05
41,"['diorspring', 'kim', 'jones']",2.3751406380150287e-06
42,"['diorspring', 'kim', 'new']",5.937851595037572e-07
43,"['diorspring', 'kim', 'reflective']",4.750281276030057e-07
44,"['diorspring', 'kim', 'dioroblique']",9.500562552060114e-07
45,"['diorspring', 'kim', 'galaxy']",4.750281276030057e-07
46,"['diorspring', 'kim', 'effect']",7.125421914045085e-07
47,"['diorspring', 'kim', 'leather']",7.125421914045085e-07
48,"['diorspring', 'kim', 'sportswear']",4.750281276030057e-07
49,"['diorspring', 'kim', 'highly']",4.750281276030057e-07
50,"['diorspring', 'kim', 'iconic']",4.750281276030057e-07
51,"['diorspring', 'kim', 'couture']",4.750281276030057e-07
52,"['diorspring', 'kim', 'motif']",7.125421914045085e-07
53,"['diorspring', 'jones']",5.631074521640219e-05
54,"['diorspring', 'jones', 'new']",5.937851595037572e-07
55,"['diorspring', 'jones', 'reflective']",4.750281276030057e-07
56,"['diorspring', 'jones', 'dioroblique']",9.500562552060114e-07
57,"['diorspring', 'jones', 'galaxy']",4.750281276030057e-07
58,"['diorspring', 'jones', 'effect']",7.125421914045085e-07
59,"['diorspring', 'jones', 'leather']",7.125421914045085e-07
60,"['diorspring', 'jones', 'sportswear']",4.750281276030057e-07
61,"['diorspring', 'jones', 'highly']",4.750281276030057e-07
62,"['diorspring', 'jones', 'iconic']",4.750281276030057e-07
63,"['diorspring', 'jones', 'couture']",4.750281276030057e-07
64,"['diorspring', 'jones', 'motif']",7.125421914045085e-07
65,"['diorspring', 'new']",1.4077686304100548e-05
66,"['diorspring', 'new', 'dioroblique']",4.750281276030057e-07
67,"['diorspring', 'new', 'effect']",4.750281276030057e-07
68,"['diorspring', 'reflective']",1.1262149043280438e-05
69,"['diorspring', 'dioroblique']",2.2524298086560877e-05
70,"['diorspring', 'dioroblique', 'motif']",4.750281276030057e-07
71,"['diorspring', 'dioroblique', 'galaxy']",4.750281276030057e-07
72,"['diorspring', 'dioroblique', 'effect']",4.750281276030057e-07
73,"['diorspring', 'dioroblique', 'leather']",4.750281276030057e-07
74,"['diorspring', 'galaxy']",1.1262149043280438e-05
75,"['diorspring', 'galaxy', 'leather']",4.750281276030057e-07
76,"['diorspring', 'effect']",1.6893223564920658e-05
77,"['diorspring', 'leather']",1.6893223564920658e-05
78,"['diorspring', 'men']",3.3786447129841315e-05
79,"['diorspring', 'men', 'kim']",1.425084382809017e-06
80,"['diorspring', 'men', 'jones']",1.425084382809017e-06
81,"['diorspring', 'men', 'dioroblique']",7.125421914045085e-07
82,"['diorspring', 'men', 'effect']",4.750281276030057e-07
83,"['diorspring', 'men', 'leather']",4.750281276030057e-07
84,"['diorspring', 'men', 'sportswear']",4.750281276030057e-07
85,"['diorspring', 'men', 'highly']",4.750281276030057e-07
86,"['diorspring', 'men', 'iconic']",4.750281276030057e-07
87,"['diorspring', 'men', 'collection']",1.425084382809017e-06
88,"['diorspring', 'men', 'motif']",7.125421914045085e-07
89,"['diorspring', 'sportswear']",1.1262149043280438e-05
90,"['diorspring', 'highly']",1.1262149043280438e-05
91,"['diorspring', 'iconic']",1.1262149043280438e-05
92,"['diorspring', 'iconic', 'leather']",4.750281276030057e-07
93,"['diorspring', 'iconic', 'motif']",4.750281276030057e-07
94,"['diorspring', 'collection']",3.941752165148154e-05
95,"['diorspring', 'collection', 'kim']",1.425084382809017e-06
96,"['diorspring', 'collection', 'jones']",1.425084382809017e-06
97,"['diorspring', 'collection', 'dioroblique']",7.125421914045085e-07
98,"['diorspring', 'collection', 'effect']",4.750281276030057e-07
99,"['diorspring', 'collection', 'leather']",4.750281276030057e-07
100,"['diorspring', 'collection', 'sportswear']",4.750281276030057e-07
101,"['diorspring', 'collection', 'highly']",4.750281276030057e-07
102,"['diorspring', 'collection', 'iconic']",4.750281276030057e-07
103,"['diorspring', 'collection', 'couture']",4.750281276030057e-07
104,"['diorspring', 'collection', 'motif']",7.125421914045085e-07
105,"['diorspring', 'couture']",1.1262149043280438e-05
106,"['diorspring', 'motif']",1.6893223564920658e-05
107,"['diorspring', 'motif', 'leather']",4.750281276030057e-07
108,['kim'],0.026597418948693736
109,"['kim', 'diorspring']",2.5339835347380988e-05
110,"['kim', 'jones']",0.0004673791852961382
111,"['kim', 'jones', 'diorspring']",1.0688132871067629e-06
112,"['kim', 'jones', 'features']",4.750281276030057e-07
113,"['kim', 'jones', 'gold']",4.750281276030057e-07
114,"['kim', 'jones', 'cd']",4.750281276030057e-07
115,"['kim', 'jones', 'diorsaddle']",1.425084382809017e-06
116,"['kim', 'jones', 'contrasting']",5.937851595037572e-07
117,"['kim', 'jones', 'new']",2.0188695423127742e-06
118,"['kim', 'jones', 'reflective']",4.750281276030057e-07
119,"['kim', 'jones', 'dioroblique']",2.612654701816531e-06
120,"['kim', 'jones', 'galaxy']",5.937851595037572e-07
121,"['kim', 'jones', 'effect']",8.3129922330526e-07
122,"['kim', 'jones', 'leather']",1.3063273509082656e-06
123,"['kim', 'jones', 'stussy']",5.937851595037572e-07
124,"['kim', 'jones', 'shawn']",5.937851595037572e-07
125,"['kim', 'jones', 'pm']",1.66259844661052e-06
126,"['kim', 'jones', 'tailoring']",4.750281276030057e-07
127,"['kim', 'jones', 'house']",5.937851595037572e-07
128,"['kim', 'jones', 'perfectly']",7.125421914045085e-07
129,"['kim', 'jones', 'collection']",2.850168765618034e-06
130,"['kim', 'jones', 'couture']",7.125421914045085e-07
131,"['kim', 'jones', 'casual']",5.937851595037572e-07
132,"['kim', 'jones', 'allure']",4.750281276030057e-07
133,"['kim', 'jones', 'coat']",9.500562552060114e-07
134,"['kim', 'jones', 'inspired']",1.0688132871067629e-06
135,"['kim', 'jones', 'colors']",5.937851595037572e-07
136,"['kim', 'jones', 'color']",5.937851595037572e-07
137,"['kim', 'jones', 'stay']",7.125421914045085e-07
138,"['kim', 'jones', 'tuned']",7.125421914045085e-07
139,"['kim', 'jones', 'kenny']",2.4938976699157797e-06
140,"['kim', 'jones', 'scharf']",2.4938976699157797e-06
141,"['kim', 'jones', 'collaborative']",2.0188695423127742e-06
142,"['kim', 'jones', 'belt']",5.937851595037572e-07
143,"['kim', 'jones', 'mockneck']",5.937851595037572e-07
144,"['kim', 'jones', 'discover']",4.750281276030057e-07
145,"['kim', 'jones', 'diorsavoirfaire']",2.256383606114277e-06
146,"['kim', 'jones', 'watch']",9.500562552060114e-07
147,"['kim', 'jones', 'recreations']",4.750281276030057e-07
148,"['kim', 'jones', 'dior']",2.3751406380150287e-06
149,"['kim', 'jones', 'referencing']",4.750281276030057e-07
150,"['kim', 'jones', 'works']",4.750281276030057e-07
151,"['kim', 'jones', 'oversize']",5.937851595037572e-07
152,"['kim', 'jones', 'set']",5.937851595037572e-07
153,"['kim', 'jones', 'sleek']",5.937851595037572e-07
154,"['kim', 'jones', 'twitter']",1.0688132871067629e-06
155,"['kim', 'jones', 'looks']",4.750281276030057e-07
156,"['kim', 'jones', 'blue']",5.937851595037572e-07
157,"['kim', 'jones', 'pieces']",9.500562552060114e-07
158,"['kim', 'jones', 'introducing']",4.750281276030057e-07
159,"['kim', 'jones', 'items']",4.750281276030057e-07
160,"['kim', 'jones', 'black']",7.125421914045085e-07
161,"['kim', 'jones', 'wool']",5.937851595037572e-07
162,"['kim', 'jones', 'pants']",8.3129922330526e-07
163,"['kim', 'jones', 'performance']",4.750281276030057e-07
164,"['kim', 'jones', 'accessorized']",4.750281276030057e-07
165,"['kim', 'jones', 'chinese']",4.750281276030057e-07
166,"['kim', 'jones', 'colorful']",7.125421914045085e-07
167,"['kim', 'jones', 'brooch']",5.937851595037572e-07
168,"['kim', 'jones', 'starsindior']",1.1875703190075143e-06
169,"['kim', 'jones', 'monsieur']",9.500562552060114e-07
170,"['kim', 'jones', 'artist']",5.225309403633062e-06
171,"['kim', 'jones', 'today']",8.3129922330526e-07
172,"['kim', 'jones', 'prints']",4.750281276030057e-07
173,"['kim', 'jones', 'peter']",5.106552371732311e-06
174,"['kim', 'jones', 'highlight']",5.937851595037572e-07
175,"['kim', 'jones', 'motifs']",1.1875703190075143e-06
176,"['kim', 'jones', 'graphic']",5.937851595037572e-07
177,"['kim', 'jones', 'soft']",4.750281276030057e-07
178,"['kim', 'jones', 'sportswear']",4.750281276030057e-07
179,"['kim', 'jones', 'iconic']",8.3129922330526e-07
180,"['kim', 'jones', 'seen']",4.750281276030057e-07
181,"['kim', 'jones', 'bag']",4.750281276030057e-07
182,"['kim', 'jones', 'featuring']",1.0688132871067629e-06
183,"['kim', 'jones', 'motif']",2.1376265742135257e-06
184,"['kim', 'jones', 'precision']",4.750281276030057e-07
185,"['kim', 'jones', 'boasts']",4.750281276030057e-07
